id,title,category,year,decade,start_date,end_date,lat,lon,regions,deaths,injuries,evacuated,homeless,insured_cost,homes_destroyed,buildings_destroyed,impact_score,url
222,Cyclone Emily,Cyclone,1972,1970,3/27/1972 0:00,4/2/1972 0:00,-23.41284752,150.8175659,Queensland,8.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,http://www.emknowledge.gov.au/resource/?id=222
224,Bushfire - East Coast Queensland,Bushfire,1994,1990,9/27/1994 0:00,11/7/1994 0:00,-27.08205414,152.9538879,Queensland,0.0,9.0,3000.0,0.0,59100000.0,23.0,0.0,214.0,http://www.emknowledge.gov.au/resource/?id=224
233,Earthquake - Adelaide,Earthquake,1954,1950,3/1/1954 0:00,3/1/1954 0:00,-34.97600174,138.6254883,South Australia,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,http://www.emknowledge.gov.au/resource/?id=233
235,Bushfire - Black Sunday Mt Lofty Ranges,Bushfire,1955,1950,1/2/1955 0:00,1/2/1955 0:00,-35.00764465,138.7087402,South Australia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,http://www.emknowledge.gov.au/resource/?id=235
237,Cyclone Bobby,Cyclone,1995,1990,2/24/1995 0:00,2/27/1995 0:00,-21.63766289,115.1149368,Western Australia,8.0,0.0,0.0,0.0,11000000.0,0.0,0.0,80.0,http://www.emknowledge.gov.au/resource/?id=237
239,Bushfire - Saltern Creek,Bushfire,1918,1910,9/16/1918 0:00,12/30/1918 0:00,-23.44151306,144.2484283,Queensland,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,http://www.emknowledge.gov.au/resource/?id=239
240,Hail - Sydney Jan 1947,Hail,1947,1940,1/1/1947 0:00,1/1/1947 0:00,-33.81110382,151.2130737,New South Wales,0.0,300.0,0.0,0.0,0.0,0.0,0.0,600.0,http://www.emknowledge.gov.au/resource/?id=240
245,Bushfire - Black Christmas,Bushfire,2001,2000,12/24/2001 0:00,1/11/2002 0:00,-35.05125809,150.6684265,New South Wales;Australian Capital Territory,0.0,0.0,11000.0,0.0,69000000.0,109.0,443.0,1654.0,http://www.emknowledge.gov.au/resource/?id=245
247,"Earthquake - Hunter Valley, Ellalong and Cessnock",Earthquake,1994,1990,8/6/1994 0:00,8/6/1994 0:00,-32.78034592,151.3469696,New South Wales,0.0,0.0,0.0,0.0,37200000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=247
248,Flood - Sydney Nov 1984,Flood,1984,1980,11/8/1984 0:00,11/8/1984 0:00,-33.85963821,151.2046814,New South Wales,0.0,0.0,0.0,0.0,80000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=248
